Anthony Davis,54.06,10900
Kevin Durant,48.12,10300
LaMarcus Aldridge,40.21,9400
Draymond Green,36.59,7500
Nikola Mirotic,31.36,7000
Dario Saric,29.64,6600
Kelly Olynyk,25.34,6100
Ersan Ilyasova,23.32,5800
James Johnson,25.72,5700
Robert Covington,28.13,5600
Al-Farouq Aminu,24.76,5300
Rudy Gay,22.66,5100
Justise Winslow,20.17,4600
Maurice Harkless,14.55,4200
Kyle Anderson,22.58,4000
Amir Johnson,14.82,3700
Zach Collins,11.33,3600
Ed Davis,17.14,3600
Kevon Looney,11.65,3500
David West,16.45,3300
Bam Adebayo,17.51,3200
Richaun Holmes,15.16,3200
Darius Miller,13.78,3200
Jordan Bell,14.46,3100
Cheick Diallo,11.48,3100
Solomon Hill,9.45,2900
Justin Anderson,11.40,2800
Davis Bertans,11.72,2700
Udonis Haslem,2.25,2500
Luke Babbitt,9.52,2500
Jordan Mickey,10.08,2500
Matt Costello,6.44,2500
Chris Boucher,1.25,2500
Meyers Leonard,7.73,2500
Caleb Swanigan,5.82,2500
Jake Layman,2.65,2500
